companies,status,comment
TAQA MOROCCO,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
SODEP-Marsa Maroc,Not Sharia Compliant,The interest-bearing debt and deposits exceed the acceptable threshold.
ARADEI CAPITAL,Not Sharia Compliant,The interest-bearing debt  exceed the acceptable threshold.
BALIMA,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
IMMORENTE INVEST,Not Sharia Compliant,The interest-bearing debt  exceed the acceptable threshold.
CARTIER SAADA,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
COSUMAR,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
AFMA,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
AGMA,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
ATLANTASANAD,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
SANLAM MAROC,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
WAFA ASSURANCE,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
SGTM S.A,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
TGCC S.A,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
ATTIJARIWAFA BANK,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
BANK OF AFRICA,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
BCP,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
BMCI,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
CDM,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
CFG BANK,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
CIH,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
RISMA,Not Sharia Compliant,"Banks, insurance companies,hotels, and financing companies are not compliant based on their business activities."
HPS,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
MANAGEM,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."
CASH PLUS S.A,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
DIAC SALAF,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
EQDOM,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
MAGHREBAIL,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
MAROC LEASING,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
SALAFIN,Not Sharia Compliant,"Banks, insurance companies, and financing companies are not compliant based on their business activities."
ITISSALAT AL-MAGHRIB,Sharia Compliant,"The activity is compliant, and the interest-bearing debt ratio is below 30%. The interest-bearing receivables are also below 30%, and the non-compliant income represents less than 5% of total revenue."